FD,time,apache 
3076,1602,60
3079,1603,60
3077,1604,60
3077,1605,60
3075,1606,60
3080,1607,60
3076,1608,60
3073,1609,60
3076,1610,60
3076,1611,60
3076,1612,60
3076,1613,60
3075,1614,60
3074,1615,60
3075,1616,60
3073,1617,60
3078,1618,60
3074,1619,60
3070,1620,60
3070,1621,60
3073,1622,60
3073,1623,60
3072,1624,60
3077,1625,60
3072,1626,60
3070,1627,60
3073,1628,60
3070,1629,60
3073,1630,60
3073,1631,60
3073,1632,60
3073,1633,60
3071,1634,60
3074,1635,60
3073,1636,60
3070,1637,60
3073,1638,60
3070,1639,60
3071,1640,60
3070,1641,60
3072,1642,60
3071,1643,60
3072,1644,60
3070,1645,60
3071,1646,60
3070,1647,60
3071,1648,60
3072,1649,60
3073,1650,60
3073,1651,60
3072,1652,60
3071,1653,60
3073,1654,60
3073,1655,60
3073,1656,60
3073,1657,60
3073,1658,60
3072,1659,60
3070,1660,60
3071,1661,60
3071,1662,60
3073,1663,60
3072,1664,60
3070,1665,60
3073,1666,60
3072,1667,60
3070,1668,60
3071,1669,60
3071,1670,60
3070,1671,60
3070,1672,60
3073,1673,60
3073,1674,60
3072,1675,60
3070,1676,60
3071,1677,60
3073,1678,60
3073,1679,60
3073,1680,60
3073,1681,60
3072,1682,60
3071,1683,60
3072,1684,60
3070,1685,60
3072,1686,60
3071,1687,60
3073,1688,60
3073,1689,60
3073,1690,60
3072,1691,60
3071,1692,60
3072,1693,60
3076,1694,60
3075,1695,60
3073,1696,60
3075,1697,60
3073,1698,60
3075,1699,60
3074,1700,60
3076,1701,60
3075,1702,60
3074,1703,60
3075,1704,60
3073,1705,60
3076,1706,60
3074,1707,60
3074,1708,60
3075,1709,60
3074,1710,60
3075,1711,60
3073,1712,60
3075,1713,60
3073,1714,60
3076,1715,60
3076,1716,60
3075,1717,60
3074,1718,60
3076,1719,60
3076,1720,60
3076,1721,60
3071,1722,60
3070,1723,60
3073,1724,60
3072,1725,60
3074,1726,60
3072,1727,60
3074,1728,60
3072,1729,60
3070,1730,60
3073,1731,60
3072,1732,60
3071,1733,60
3073,1734,60
3073,1735,60
3074,1736,60
3072,1737,60
3076,1738,60
3073,1739,60
3073,1740,60
3072,1741,60
3071,1742,60
3071,1743,60
3071,1744,60
3073,1745,60
3073,1746,60
3072,1747,60
3070,1748,60
3070,1749,60
3073,1750,60
3073,1751,60
3073,1752,60
3072,1753,60
3073,1754,60
3071,1755,60
3070,1756,60
3073,1757,60
3073,1758,60
3070,1759,60
3073,1760,60
3073,1761,60
3072,1762,60
3070,1763,60
3072,1764,60
3070,1765,60
3073,1766,60
